,Experiment,Measurement,Time,Concentration,Bioagent,Type
123,6,0,9.75,1.9338764258269734,PFU,sp
124,6,1,9.93,880470074.5603386,CFU,wt
125,6,1,9.61,13.084461993075369,PFU,wt
126,6,1,10.23,645497445.9307353,CFU,sp
127,6,1,10.19,2.2150719556052456,PFU,sp
128,6,2,10.3,935302411.5481062,CFU,wt
129,6,2,10.450000000000001,16.799747022348743,PFU,wt
130,6,2,10.040000000000001,618455248.7459301,CFU,sp
131,6,2,9.540000000000001,1.8095877898593282,PFU,sp
132,6,3,9.91,877425943.1087157,CFU,wt
133,6,3,10.3,16.09877880596074,PFU,wt
134,6,3,9.78,582083572.593656,CFU,sp
135,6,3,10.32,2.303648923912703,PFU,sp
136,6,4,9.55,821451862.5603116,CFU,wt
137,6,4,10.46,16.847032543489306,PFU,wt
138,6,4,9.99,611400059.5148289,CFU,sp
139,6,4,10.21,2.2285342983489693,PFU,sp
140,7,0,9.91,877425943.1087157,CFU,wt
141,7,0,9.74,13.625093681413588,PFU,wt
142,7,0,9.85,591796431.1990068,CFU,sp
143,7,0,9.870000000000001,2.0077490782637892,PFU,sp
144,7,1,9.790000000000001,859006711.9406546,CFU,wt
145,7,1,9.85,14.09263062625721,PFU,wt
146,7,1,9.63,561486623.9875553,CFU,sp
147,7,1,10.02,2.103047671375725,PFU,sp
148,7,2,9.75,852810799.1297272,CFU,wt
149,7,2,9.78,13.794044818033061,PFU,wt
150,7,2,9.540000000000001,549278981.2910464,CFU,sp
151,7,2,9.82,1.9767146507310924,PFU,sp
152,7,3,10.21,922239132.60098,CFU,wt
153,7,3,9.64,13.208069137800392,PFU,wt
154,7,3,9.97,608585677.2999554,CFU,sp
155,7,3,10.33,2.3105677031387093,PFU,sp
156,7,4,10.07,901559175.4893551,CFU,wt
157,7,4,10.24,15.822813196599881,PFU,wt
158,7,4,10.42,672858731.2190572,CFU,sp
159,7,4,9.93,2.045472166030543,PFU,sp
160,8,0,10.040000000000001,897073382.8758206,CFU,wt
161,8,0,10.19,15.59480030748533,PFU,wt
162,8,0,9.700000000000001,571060683.6887938,CFU,sp
163,8,0,10.11,2.1618195956352046,PFU,sp
164,8,1,9.88,872845649.2952325,CFU,wt
165,8,1,10.21,15.685790771023841,PFU,wt
166,8,1,9.94,604372570.7903229,CFU,sp
167,8,1,9.84,1.9890847362881583,PFU,sp
168,8,2,10.19,919311142.2228388,CFU,wt
169,8,2,9.65,13.249425858945083,PFU,wt
170,8,2,10.26,649798132.6701256,CFU,sp
171,8,2,9.64,1.8679868997032907,PFU,sp
172,8,3,10.450000000000001,956648649.4802656,CFU,wt
173,8,3,9.870000000000001,14.178620275002961,PFU,wt
174,8,3,9.55,550629573.7289388,CFU,sp
175,8,3,10.08,2.142095529568214,PFU,sp
176,8,4,9.82,863635659.7214118,CFU,wt
177,8,4,9.86,14.135587827239535,PFU,wt
178,8,4,10.11,628376895.0652114,CFU,sp
179,8,4,10.17,2.2016693902684983,PFU,sp
180,9,0,9.6,829347296.4933684,CFU,wt
181,9,0,9.96,14.569282799514133,PFU,wt
182,9,0,9.84,590405120.5487965,CFU,sp
183,9,0,9.92,2.0391483842460514,PFU,sp
184,9,1,9.55,821451862.5603116,CFU,wt
185,9,1,9.89,14.264910537164791,PFU,wt
186,9,1,10.24,646930136.3981134,CFU,sp
187,9,1,9.69,1.8977212598789999,PFU,sp
188,9,2,10.49,962247623.7106284,CFU,wt
189,9,2,9.57,12.92073565406688,PFU,wt
190,9,2,10.14,632644189.539313,CFU,sp
191,9,2,10.26,2.262452162192376,PFU,sp
192,9,3,9.89,874374275.4966784,CFU,wt
193,9,3,10.15,15.413682246719649,PFU,wt
194,9,3,10.02,615629920.9113946,CFU,sp
195,9,3,10.26,2.262452162192376,PFU,sp
196,9,4,10.24,926614207.8295062,CFU,wt
197,9,4,10.4,16.56435253013662,PFU,wt
198,9,4,10.44,675754698.2841866,CFU,sp
199,9,4,10.1,2.155230054096748,PFU,sp
200,10,0,10.21,922239132.60098,CFU,wt
201,10,0,10.42,16.65830320184622,PFU,wt
202,10,0,9.63,561486623.9875553,CFU,sp
203,10,0,10.44,2.3876702401623247,PFU,sp
204,10,1,9.51,815111011.1502727,CFU,wt
205,10,1,9.91,14.351500658534222,PFU,wt
206,10,1,9.700000000000001,571060683.6887938,CFU,sp
207,10,1,10.31,2.2967452017835543,PFU,sp
208,10,2,10.46,958052151.5246236,CFU,wt
209,10,2,9.93,14.438389874118831,PFU,wt
210,10,2,10.13,631220775.2622567,CFU,sp
211,10,2,10.05,2.1225049833744496,PFU,sp
212,10,3,10.34,941047752.1420034,CFU,wt
213,10,3,9.84,14.049748764627612,PFU,wt
214,10,3,9.6,557404445.6331073,CFU,sp
215,10,3,9.58,1.8327769411898545,PFU,sp
216,10,4,9.51,815111011.1502727,CFU,wt
217,10,4,9.93,14.438389874118831,PFU,wt
218,10,4,9.59,556046575.0697403,CFU,sp
219,10,4,9.65,1.8739051423350492,PFU,sp
220,11,0,10.290000000000001,933860184.0165012,CFU,wt
221,11,0,9.67,13.332370347476232,PFU,wt
222,11,0,10.05,619869511.5180517,CFU,sp
223,11,0,10.450000000000001,2.394770294150412,PFU,sp
224,11,1,9.56,823033724.6464955,CFU,wt
225,11,1,10.47,16.89438664444527,PFU,wt
226,11,1,10.1,626956447.8309109,CFU,sp
227,11,1,10.31,2.2967452017835543,PFU,sp
228,11,2,9.57,824614214.7775011,CFU,wt
229,11,2,9.53,12.758251523651435,PFU,wt
230,11,2,9.86,593188972.4144278,CFU,sp
231,11,2,9.82,1.9767146507310924,PFU,sp
232,11,3,9.83,865175140.3770976,CFU,wt
233,11,3,10.49,16.989300077114006,PFU,wt
234,11,3,10.25,648363701.8669971,CFU,sp
235,11,3,10.15,2.1883265268374097,PFU,sp
236,11,4,10.25,928068013.1804616,CFU,wt
237,11,4,9.68,13.373957957842572,PFU,wt
238,11,4,10.21,642634728.5465033,CFU,sp
239,11,4,9.91,2.032839258765961,PFU,sp
240,12,0,9.52,816698202.6721646,CFU,wt
241,12,0,10.120000000000001,15.278602242076394,PFU,wt
242,12,0,9.790000000000001,583467322.3669512,CFU,sp
243,12,0,9.91,2.032839258765961,PFU,sp
244,12,1,9.57,824614214.7775011,CFU,wt
245,12,1,9.63,13.166789535490281,PFU,wt
246,12,1,10.41,671411788.8738114,CFU,sp
247,12,1,9.59,1.8386096863768955,PFU,sp
248,12,2,9.6,829347296.4933684,CFU,wt
249,12,2,10.07,15.054922553125454,PFU,wt
250,12,2,9.8,584852353.247795,CFU,sp
251,12,2,9.85,1.9952916091405475,PFU,sp
252,12,3,10.13,910474040.0766499,CFU,wt
253,12,3,10.290000000000001,16.052607471045853,PFU,wt
254,12,3,9.63,561486623.9875553,CFU,sp
255,12,3,10.47,2.409015865131187,PFU,sp
256,12,4,10.39,948175646.8602537,CFU,wt
257,12,4,10.34,16.284168449740495,PFU,wt
258,12,4,10.31,656982926.6577199,CFU,sp
259,12,4,9.76,1.9399527463278667,PFU,sp
260,13,0,10.24,926614207.8295062,CFU,wt
261,13,0,9.96,14.569282799514133,PFU,wt
262,13,0,9.75,577940092.8016031,CFU,sp
263,13,0,9.94,2.051810616038103,PFU,sp
264,13,1,9.52,816698202.6721646,CFU,wt
265,13,1,10.33,16.23771563322219,PFU,wt
266,13,1,10.42,672858731.2190572,CFU,sp
267,13,1,10.34,2.3175015474069998,PFU,sp
268,13,2,10.03,895573998.3736597,CFU,wt
269,13,2,9.77,13.751692865570204,PFU,wt
270,13,2,10.31,656982926.6577199,CFU,sp
271,13,2,10.3,2.289856528701241,PFU,sp
272,13,3,9.620000000000001,832495537.8249065,CFU,wt
273,13,3,10.32,16.191333006820585,PFU,wt
274,13,3,9.64,562850179.9905821,CFU,sp
275,13,3,10.44,2.3876702401623247,PFU,sp
276,13,4,10.08,903050278.4456488,CFU,wt
277,13,4,9.8,13.878976538887496,PFU,wt
278,13,4,9.61,558763749.0894246,CFU,sp
279,13,4,10.06,2.1290203473691904,PFU,sp
280,14,0,9.74,851257634.2383628,CFU,wt
281,14,0,10.07,15.054922553125454,PFU,wt
282,14,0,9.700000000000001,571060683.6887938,CFU,sp
283,14,0,10.19,2.2150719556052456,PFU,sp
284,14,1,10.36,943906139.8961943,CFU,wt
285,14,1,9.56,12.879997985898708,PFU,wt
286,14,1,10.120000000000001,629798340.6520368,CFU,sp
287,14,1,9.9,2.026544777578475,PFU,sp
288,14,2,9.700000000000001,845028665.5795715,CFU,wt
289,14,2,9.9,14.308168163009231,PFU,wt
290,14,2,9.63,561486623.9875553,CFU,sp
291,14,2,10.17,2.2016693902684983,PFU,sp
292,14,3,10.31,936742292.29243,CFU,wt
293,14,3,10.42,16.65830320184622,PFU,wt
294,14,3,9.97,608585677.2999554,CFU,sp
295,14,3,9.98,2.0773113333943547,PFU,sp
296,14,4,10.48,960851647.4219812,CFU,wt
297,14,4,9.56,12.879997985898708,PFU,wt
298,14,4,10.3,655544315.034312,CFU,sp
299,14,4,9.52,1.7980781003504585,PFU,sp
300,15,0,10.1,906026169.6171653,CFU,wt
301,15,0,9.92,14.394907927779638,PFU,wt
302,15,0,10.42,672858731.2190572,CFU,sp
303,15,0,9.53,1.8038258839469776,PFU,sp
304,15,1,10.09,904539280.502946,CFU,wt
305,15,1,10.19,15.59480030748533,PFU,wt
306,15,1,9.84,590405120.5487965,CFU,sp
307,15,1,10.36,2.331414462327754,PFU,sp
308,15,2,10.38,946754900.7233524,CFU,wt
309,15,2,9.69,13.415622373009622,PFU,wt
310,15,2,10.08,624118585.5978843,CFU,sp
311,15,2,10.19,2.2150719556052456,PFU,sp
312,15,3,9.75,852810799.1297272,CFU,wt
313,15,3,9.64,13.208069137800392,PFU,wt
314,15,3,9.76,579319949.5570649,CFU,sp
315,15,3,9.58,1.8327769411898545,PFU,sp
316,15,4,10.49,962247623.7106284,CFU,wt
317,15,4,9.67,13.332370347476232,PFU,wt
318,15,4,9.75,577940092.8016031,CFU,sp
319,15,4,9.93,2.045472166030543,PFU,sp
320,16,0,10.18,917843798.1328845,CFU,wt
321,16,0,10.21,15.685790771023841,PFU,wt
322,16,0,10.36,664187890.2310096,CFU,sp
323,16,0,9.85,1.9952916091405475,PFU,sp
324,16,1,10.34,941047752.1420034,CFU,wt
325,16,1,10.28,16.006506805325788,PFU,wt
326,16,1,10.09,625537008.2506065,CFU,sp
327,16,1,9.92,2.0391483842460514,PFU,sp
328,16,2,10.35,942478144.5060289,CFU,wt
329,16,2,10.13,15.323556446254667,PFU,wt
330,16,2,9.57,553335163.0929943,CFU,sp
331,16,2,9.92,2.0391483842460514,PFU,sp
332,16,3,9.57,824614214.7775011,CFU,wt
333,16,3,9.94,14.481946400262409,PFU,wt
334,16,3,9.870000000000001,594582735.6546824,CFU,sp
335,16,3,9.65,1.8739051423350492,PFU,sp
336,16,4,9.73,849702823.7476032,CFU,wt
337,16,4,10.23,15.777067643942512,PFU,wt
338,16,4,9.99,611400059.5148289,CFU,sp
339,16,4,9.94,2.051810616038103,PFU,sp
340,17,0,9.52,816698202.6721646,CFU,wt
341,17,0,10.32,16.191333006820585,PFU,wt
342,17,0,10.08,624118585.5978843,CFU,sp
343,17,0,9.92,2.0391483842460514,PFU,sp
344,17,1,9.97,886535303.4868376,CFU,wt
345,17,1,10.43,16.70538222556957,PFU,wt
346,17,1,10.3,655544315.034312,CFU,sp
347,17,1,10.39,2.3523970151216127,PFU,sp
348,17,2,9.83,865175140.3770976,CFU,wt
349,17,2,9.790000000000001,13.836472738363845,PFU,wt
350,17,2,10.14,632644189.539313,CFU,sp
351,17,2,9.51,1.7923444237054276,PFU,sp
352,17,3,10.21,922239132.60098,CFU,wt
353,17,3,9.63,13.166789535490281,PFU,wt
354,17,3,10.1,626956447.8309109,CFU,sp
355,17,3,9.94,2.051810616038103,PFU,sp
356,17,4,9.81,862094418.6826407,CFU,wt
357,17,4,10.17,15.504097165088675,PFU,wt
358,17,4,9.96,607180170.6639886,CFU,sp
359,17,4,9.790000000000001,1.9582684802469414,PFU,sp
360,18,0,10.32,938179816.0406895,CFU,wt
361,18,0,9.52,12.717825115780357,PFU,wt
362,18,0,10.47,680103703.5450561,CFU,sp
363,18,0,10.28,2.276124296955474,PFU,sp
364,18,1,9.66,838774313.0619631,CFU,wt
365,18,1,10.22,15.731393463638813,PFU,wt
366,18,1,9.64,562850179.9905821,CFU,sp
367,18,1,10.21,2.2285342983489693,PFU,sp
368,18,2,10.19,919311142.2228388,CFU,wt
369,18,2,10.18,15.549412764504313,PFU,wt
370,18,2,9.94,604372570.7903229,CFU,sp
