Time (hr)	WT	WT +CX	spoT-	spoT- +CX
0	1.0E+07	1.0E+07	8.0E+06	8.0E+06
4	4.3E+07	4.3E+07	2.9E+07	2.9E+07
10	7.5E+07	5.0E+07	4.2E+07	4.8E+07
14	8.1E+07	7.1E+07	6.1E+07	5.6E+07
17	8.1E+07	6.5E+07	9.9E+07	6.7E+07
24	8.1E+07	6.5E+07	9.9E+07	6.7E+07
