,Theoretic Time,Experiment,Measurement,Time,Concentration,Bioagent,Type,Total_Type
77,34.0,3,4,33.730000000000004,166.5205293684699,PFU,wt,PFUwt
78,34.0,3,4,33.54,1539710275.2174752,CFU,sp,CFUsp
79,34.0,3,4,34.25,36.431664583422624,PFU,sp,PFUsp
80,34.0,4,0,33.72,1389989056.3448782,CFU,wt,CFUwt
81,34.0,4,0,34.45,171.15172669420699,PFU,wt,PFUwt
82,34.0,4,0,33.58,1539714667.7470045,CFU,sp,CFUsp
83,34.0,4,0,33.6,35.44068873841407,PFU,sp,PFUsp
84,34.0,4,1,33.82,1389989559.8314288,CFU,wt,CFUwt
85,34.0,4,1,34.25,169.86628515933128,PFU,wt,PFUwt
86,34.0,4,1,34.24,1539778244.45512,CFU,sp,CFUsp
87,34.0,4,1,33.65,35.516984698360474,PFU,sp,PFUsp
88,34.0,4,2,33.85,1389989706.310938,CFU,wt,CFUwt
89,34.0,4,2,34.38,170.70190979913397,PFU,wt,PFUwt
90,34.0,4,2,34.36,1539788178.8926804,CFU,sp,CFUsp
91,34.0,4,2,34.09,36.18790743639167,PFU,sp,PFUsp
92,34.0,4,3,34.05,1389990631.689301,CFU,wt,CFUwt
93,34.0,4,3,34.01,168.32273796798066,PFU,wt,PFUwt
94,34.0,4,3,34.08,1539764270.1275399,CFU,sp,CFUsp
95,34.0,4,3,34.1,36.20314561635494,PFU,sp,PFUsp
96,34.0,4,4,33.76,1389989260.5895019,CFU,wt,CFUwt
97,34.0,4,4,34.09,168.8373770504907,PFU,wt,PFUwt
98,34.0,4,4,33.93,1539750370.5780227,CFU,sp,CFUsp
99,34.0,4,4,34.39,36.64485801218794,PFU,sp,PFUsp
100,34.0,5,0,34.480000000000004,1389992349.2257519,CFU,wt,CFUwt
101,34.0,5,0,34.47,171.28022847450782,PFU,wt,PFUwt
102,34.0,5,0,34.410000000000004,1539792185.7419999,CFU,sp,CFUsp
103,34.0,5,0,34.04,36.111709822387034,PFU,sp,PFUsp
104,34.0,5,1,33.88,1389989850.7352762,CFU,wt,CFUwt
105,34.0,5,1,34.33,170.38055423482,PFU,wt,PFUwt
106,34.0,5,1,33.76,1539733624.592129,CFU,sp,CFUsp
107,34.0,5,1,34.46,36.751421782126734,PFU,sp,PFUsp
108,34.0,5,2,34.2,1389991270.7088249,CFU,wt,CFUwt
109,34.0,5,2,33.86,167.3574571094881,PFU,wt,PFUwt
110,34.0,5,2,34.300000000000004,1539783268.5797138,CFU,sp,CFUsp
111,34.0,5,2,34.46,36.751421782126734,PFU,sp,PFUsp
112,34.0,5,3,34.17,1389991146.4908583,CFU,wt,CFUwt
113,34.0,5,3,34.01,168.32273796798066,PFU,wt,PFUwt
114,34.0,5,3,34.2,1539774830.5102363,CFU,sp,CFUsp
115,34.0,5,3,33.9,35.89829699171618,PFU,sp,PFUsp
116,34.0,5,4,34.160000000000004,1389991104.6932962,CFU,wt,CFUwt
117,34.0,5,4,34.47,171.28022847450782,PFU,wt,PFUwt
118,34.0,5,4,33.78,1539735651.5976272,CFU,sp,CFUsp
119,34.0,5,4,34.33,36.55350015521761,PFU,sp,PFUsp
120,34.0,6,0,33.980000000000004,1389990317.6740372,CFU,wt,CFUwt
121,34.0,6,0,33.82,167.0999756007698,PFU,wt,PFUwt
122,34.0,6,0,33.83,1539740651.8962946,CFU,sp,CFUsp
123,34.0,6,0,33.57,35.39490580608049,PFU,sp,PFUsp
124,34.0,6,1,33.64,1389988636.1286077,CFU,wt,CFUwt
125,34.0,6,1,34.21,169.60910438148397,PFU,wt,PFUwt
126,34.0,6,1,34.38,1539789790.8193796,CFU,sp,CFUsp
127,34.0,6,1,34.07,36.15742973355818,PFU,sp,PFUsp
128,34.0,6,2,33.55,1389988144.0676525,CFU,wt,CFUwt
129,34.0,6,2,33.69,166.26294755280216,PFU,wt,PFUwt
130,34.0,6,2,34.2,1539774830.5102363,CFU,sp,CFUsp
131,34.0,6,2,33.57,35.39490580608049,PFU,sp,PFUsp
132,34.0,6,3,34.06,1389990675.7094443,CFU,wt,CFUwt
133,34.0,6,3,33.51,165.10344732521813,PFU,wt,PFUwt
134,34.0,6,3,33.58,1539714667.7470045,CFU,sp,CFUsp
135,34.0,6,3,34.38,36.62963282325492,PFU,sp,PFUsp
136,34.0,6,4,33.7,1389988952.770507,CFU,wt,CFUwt
137,34.0,6,4,34.47,171.28022847450782,PFU,wt,PFUwt
138,34.0,6,4,34.29,1539782439.199674,CFU,sp,CFUsp
139,34.0,6,4,34.01,36.06598588347263,PFU,sp,PFUsp
140,34.0,7,0,33.88,1389989850.7352762,CFU,wt,CFUwt
141,34.0,7,0,34.160000000000004,169.2875850529194,PFU,wt,PFUwt
142,34.0,7,0,33.93,1539750370.5780227,CFU,sp,CFUsp
143,34.0,7,0,34.34,36.56872758521035,PFU,sp,PFUsp
144,34.0,7,1,33.86,1389989754.6793041,CFU,wt,CFUwt
145,34.0,7,1,33.9,167.6149077608193,PFU,wt,PFUwt
146,34.0,7,1,33.77,1539734640.029999,CFU,sp,CFUsp
147,34.0,7,1,34.43,36.705754285037585,PFU,sp,PFUsp
148,34.0,7,2,33.82,1389989559.8314288,CFU,wt,CFUwt
149,34.0,7,2,33.59,165.61885795139386,PFU,wt,PFUwt
150,34.0,7,2,33.57,1539713575.896545,CFU,sp,CFUsp
151,34.0,7,2,34.39,36.64485801218794,PFU,sp,PFUsp
152,34.0,7,3,34.34,1389991827.7399917,CFU,wt,CFUwt
153,34.0,7,3,34.09,168.8373770504907,PFU,wt,PFUwt
154,34.0,7,3,34.0,1539756956.1725836,CFU,sp,CFUsp
155,34.0,7,3,34.37,36.61440718607146,PFU,sp,PFUsp
156,34.0,7,4,34.06,1389990675.7094443,CFU,wt,CFUwt
157,34.0,7,4,33.67,166.1341450689326,PFU,wt,PFUwt
158,34.0,7,4,33.84,1539741640.5501819,CFU,sp,CFUsp
159,34.0,7,4,33.85,35.822056878875124,PFU,sp,PFUsp
160,34.0,8,0,33.57,1389988255.2241123,CFU,wt,CFUwt
161,34.0,8,0,33.88,167.48618629214099,PFU,wt,PFUwt
162,34.0,8,0,33.980000000000004,1539755092.5031483,CFU,sp,CFUsp
163,34.0,8,0,34.0,36.05074367555785,PFU,sp,PFUsp
164,34.0,8,1,34.36,1389991904.359677,CFU,wt,CFUwt
165,34.0,8,1,34.42,170.95895958043243,PFU,wt,PFUwt
166,34.0,8,1,34.13,1539768729.1718616,CFU,sp,CFUsp
167,34.0,8,1,33.96,35.98977036982537,PFU,sp,PFUsp
168,34.0,8,2,34.230000000000004,1389991393.1839554,CFU,wt,CFUwt
169,34.0,8,2,34.2,169.54480436982098,PFU,wt,PFUwt
170,34.0,8,2,33.75,1539732605.269215,CFU,sp,CFUsp
171,34.0,8,2,34.09,36.18790743639167,PFU,sp,PFUsp
172,34.0,8,3,34.28,1389991593.502464,CFU,wt,CFUwt
173,34.0,8,3,34.29,170.12343510940977,PFU,wt,PFUwt
174,34.0,8,3,34.480000000000004,1539797668.3352964,CFU,sp,CFUsp
175,34.0,8,3,33.55,35.36438161988102,PFU,sp,PFUsp
176,34.0,8,4,33.69,1389988900.6163003,CFU,wt,CFUwt
177,34.0,8,4,34.480000000000004,171.3444764761412,PFU,wt,PFUwt
178,34.0,8,4,34.01,1539757882.6831453,CFU,sp,CFUsp
179,34.0,8,4,34.38,36.62963282325492,PFU,sp,PFUsp
180,34.0,9,0,33.86,1389989754.6793041,CFU,wt,CFUwt
181,34.0,9,0,33.84,167.2287202124883,PFU,wt,PFUwt
182,34.0,9,0,33.59,1539715755.4360912,CFU,sp,CFUsp
183,34.0,9,0,33.52,35.3185919942376,PFU,sp,PFUsp
184,34.0,9,1,33.88,1389989850.7352762,CFU,wt,CFUwt
185,34.0,9,1,34.15,169.2232754058913,PFU,wt,PFUwt
186,34.0,9,1,33.69,1539726406.909723,CFU,sp,CFUsp
187,34.0,9,1,34.09,36.18790743639167,PFU,sp,PFUsp
188,34.0,9,2,33.94,1389990133.533373,CFU,wt,CFUwt
189,34.0,9,2,34.300000000000004,170.18771778045365,PFU,wt,PFUwt
190,34.0,9,2,34.46,1539796116.8070009,CFU,sp,CFUsp
191,34.0,9,2,33.63,35.486467653654444,PFU,sp,PFUsp
192,34.0,9,3,33.74,1389989158.9481752,CFU,wt,CFUwt
193,34.0,9,3,34.12,169.0303349013134,PFU,wt,PFUwt
194,34.0,9,3,33.910000000000004,1539748456.4182372,CFU,sp,CFUsp
195,34.0,9,3,33.9,35.89829699171618,PFU,sp,PFUsp
196,34.0,9,4,33.980000000000004,1389990317.6740372,CFU,wt,CFUwt
197,34.0,9,4,34.44,171.08747291544105,PFU,wt,PFUwt
198,34.0,9,4,33.6,1539716838.9796593,CFU,sp,CFUsp
199,34.0,9,4,34.33,36.55350015521761,PFU,sp,PFUsp
200,34.0,10,0,33.86,1389989754.6793041,CFU,wt,CFUwt
201,34.0,10,0,34.04,168.51574208174446,PFU,wt,PFUwt
202,34.0,10,0,33.63,1539720064.8948934,CFU,sp,CFUsp
203,34.0,10,0,34.47,36.76664338438275,PFU,sp,PFUsp
204,34.0,10,1,33.69,1389988900.6163003,CFU,wt,CFUwt
205,34.0,10,1,33.51,165.10344732521813,PFU,wt,PFUwt
206,34.0,10,1,34.03,1539759725.123494,CFU,sp,CFUsp
207,34.0,10,1,34.410000000000004,36.67530704522681,PFU,sp,PFUsp
208,34.0,10,2,33.97,1389990271.9635928,CFU,wt,CFUwt
209,34.0,10,2,33.61,165.74769130881245,PFU,wt,PFUwt
210,34.0,10,2,34.19,1539773968.844429,CFU,sp,CFUsp
211,34.0,10,2,34.1,36.20314561635494,PFU,sp,PFUsp
212,34.0,10,3,33.65,1389988689.5256026,CFU,wt,CFUwt
213,34.0,10,3,34.12,169.0303349013134,PFU,wt,PFUwt
214,34.0,10,3,33.62,1539718993.6933565,CFU,sp,CFUsp
215,34.0,10,3,33.56,35.3796439360912,PFU,sp,PFUsp
216,34.0,10,4,33.89,1389989898.425013,CFU,wt,CFUwt
217,34.0,10,4,33.82,167.0999756007698,PFU,wt,PFUwt
218,34.0,10,4,33.64,1539721132.0137281,CFU,sp,CFUsp
219,34.0,10,4,33.69,35.578013429613804,PFU,sp,PFUsp
220,34.0,11,0,33.93,1389990086.9535925,CFU,wt,CFUwt
221,34.0,11,0,33.62,165.81210509290025,PFU,wt,PFUwt
222,34.0,11,0,34.36,1539788178.8926804,CFU,sp,CFUsp
223,34.0,11,0,33.65,35.516984698360474,PFU,sp,PFUsp
224,34.0,11,1,33.86,1389989754.6793041,CFU,wt,CFUwt
225,34.0,11,1,34.47,171.28022847450782,PFU,wt,PFUwt
226,34.0,11,1,34.19,1539773968.844429,CFU,sp,CFUsp
227,34.0,11,1,33.97,36.00501436732073,PFU,sp,PFUsp
228,34.0,11,2,34.38,1389991980.2610023,CFU,wt,CFUwt
229,34.0,11,2,34.32,170.31627734311013,PFU,wt,PFUwt
230,34.0,11,2,33.96,1539753214.5453124,CFU,sp,CFUsp
231,34.0,11,2,33.92,35.928789906754396,PFU,sp,PFUsp
232,34.0,11,3,34.27,1389991553.8152661,CFU,wt,CFUwt
233,34.0,11,3,34.25,169.86628515933128,PFU,wt,PFUwt
234,34.0,11,3,33.9,1539747493.842089,CFU,sp,CFUsp
235,34.0,11,3,34.07,36.15742973355818,PFU,sp,PFUsp
236,34.0,11,4,33.660000000000004,1389988742.671693,CFU,wt,CFUwt
237,34.0,11,4,33.79,166.90684421728355,PFU,wt,PFUwt
238,34.0,11,4,34.12,1539767844.1613162,CFU,sp,CFUsp
239,34.0,11,4,34.04,36.111709822387034,PFU,sp,PFUsp
240,34.0,12,0,34.13,1389990978.112909,CFU,wt,CFUwt
241,34.0,12,0,34.18,169.41619856551625,PFU,wt,PFUwt
242,34.0,12,0,33.74,1539731582.0463984,CFU,sp,CFUsp
243,34.0,12,0,34.4,36.66008275285152,PFU,sp,PFUsp
244,34.0,12,1,34.29,1389991633.0031767,CFU,wt,CFUwt
245,34.0,12,1,34.49,171.4087225521622,PFU,wt,PFUwt
246,34.0,12,1,33.78,1539735651.5976272,CFU,sp,CFUsp
247,34.0,12,1,34.37,36.61440718607146,PFU,sp,PFUsp
248,34.0,12,2,34.14,1389991020.5052552,CFU,wt,CFUwt
249,34.0,12,2,33.88,167.48618629214099,PFU,wt,PFUwt
250,34.0,12,2,34.09,1539765168.7607262,CFU,sp,CFUsp
251,34.0,12,2,34.07,36.15742973355818,PFU,sp,PFUsp
252,34.0,12,3,33.8,1389989461.022236,CFU,wt,CFUwt
253,34.0,12,3,34.31,170.25199852500424,PFU,wt,PFUwt
254,34.0,12,3,33.97,1539754155.3171053,CFU,sp,CFUsp
255,34.0,12,3,33.96,35.98977036982537,PFU,sp,PFUsp
256,34.0,12,4,34.33,1389991789.1586418,CFU,wt,CFUwt
257,34.0,12,4,33.76,166.7136954735981,PFU,wt,PFUwt
258,34.0,12,4,34.11,1539766955.764588,CFU,sp,CFUsp
259,34.0,12,4,34.36,36.5991811006567,PFU,sp,PFUsp
260,34.0,13,0,33.81,1389989510.5431783,CFU,wt,CFUwt
261,34.0,13,0,34.31,170.25199852500424,PFU,wt,PFUwt
262,34.0,13,0,33.57,1539713575.896545,CFU,sp,CFUsp
263,34.0,13,0,33.65,35.516984698360474,PFU,sp,PFUsp
264,34.0,13,1,34.19,1389991229.497702,CFU,wt,CFUwt
265,34.0,13,1,33.82,167.0999756007698,PFU,wt,PFUwt
266,34.0,13,1,34.32,1539784917.8679414,CFU,sp,CFUsp
267,34.0,13,1,34.230000000000004,36.40120121014547,PFU,sp,PFUsp
268,34.0,13,2,34.04,1389990587.4613364,CFU,wt,CFUwt
269,34.0,13,2,34.42,170.95895958043243,PFU,wt,PFUwt
270,34.0,13,2,33.89,1539746527.5830781,CFU,sp,CFUsp
271,34.0,13,2,33.97,36.00501436732073,PFU,sp,PFUsp
272,34.0,13,3,33.5,1389987861.5520954,CFU,wt,CFUwt
