,Time,Bioagent,Pvalues,Experiment
0,15.0,Cells,0.006092890177672406,0
1,15.0,Phages,0.006092890177672406,0
2,15.0,VMR,0.006092890177672406,0
3,15.0,Cells,0.006092890177672406,1
4,15.0,Phages,0.006092890177672406,1
5,15.0,VMR,0.006092890177672406,1
6,15.0,Cells,0.006092890177672406,2
7,15.0,Phages,0.006092890177672406,2
8,15.0,VMR,0.006092890177672406,2
9,15.0,Cells,0.005833656171659683,3
10,15.0,Phages,0.006092890177672406,3
11,15.0,VMR,0.006092890177672406,3
12,15.0,Cells,0.006092890177672406,4
13,15.0,Phages,0.006092890177672406,4
14,15.0,VMR,0.006092890177672406,4
15,15.0,Cells,0.005962616796508794,5
16,15.0,Phages,0.006092890177672406,5
17,15.0,VMR,0.006092890177672406,5
18,15.0,Cells,0.005962616796508794,6
19,15.0,Phages,0.006092890177672406,6
20,15.0,VMR,0.006092890177672406,6
21,15.0,Cells,0.005962616796508794,7
22,15.0,Phages,0.006092890177672406,7
23,15.0,VMR,0.006092890177672406,7
24,15.0,Cells,0.006092890177672406,8
25,15.0,Phages,0.006092890177672406,8
26,15.0,VMR,0.006092890177672406,8
27,15.0,Cells,0.006092890177672406,9
28,15.0,Phages,0.006092890177672406,9
29,15.0,VMR,0.006092890177672406,9
30,15.0,Cells,0.006092890177672406,10
31,15.0,Phages,0.005962616796508794,10
32,15.0,VMR,0.006092890177672406,10
33,15.0,Cells,0.005962616796508794,11
34,15.0,Phages,0.005962616796508794,11
35,15.0,VMR,0.006092890177672406,11
36,15.0,Cells,0.006092890177672406,12
37,15.0,Phages,0.005962616796508794,12
38,15.0,VMR,0.006092890177672406,12
39,15.0,Cells,0.006092890177672406,13
40,15.0,Phages,0.006092890177672406,13
41,15.0,VMR,0.006092890177672406,13
42,15.0,Cells,0.006092890177672406,14
43,15.0,Phages,0.006092890177672406,14
44,15.0,VMR,0.006092890177672406,14
45,15.0,Cells,0.006092890177672406,15
46,15.0,Phages,0.005962616796508794,15
47,15.0,VMR,0.006092890177672406,15
48,15.0,Cells,0.006092890177672406,16
49,15.0,Phages,0.006092890177672406,16
50,15.0,VMR,0.006092890177672406,16
51,15.0,Cells,0.006092890177672406,17
52,15.0,Phages,0.005579712641457377,17
53,15.0,VMR,0.006092890177672406,17
54,15.0,Cells,0.006092890177672406,18
55,15.0,Phages,0.006092890177672406,18
56,15.0,VMR,0.006092890177672406,18
57,15.0,Cells,0.006092890177672406,19
58,15.0,Phages,0.006092890177672406,19
59,15.0,VMR,0.006092890177672406,19
60,15.0,Cells,0.006092890177672406,20
61,15.0,Phages,0.006092890177672406,20
62,15.0,VMR,0.006092890177672406,20
63,15.0,Cells,0.006092890177672406,21
64,15.0,Phages,0.005962616796508794,21
65,15.0,VMR,0.006092890177672406,21
66,15.0,Cells,0.006092890177672406,22
67,15.0,Phages,0.006092890177672406,22
68,15.0,VMR,0.006092890177672406,22
69,15.0,Cells,0.005962616796508794,23
70,15.0,Phages,0.006092890177672406,23
71,15.0,VMR,0.006092890177672406,23
72,15.0,Cells,0.006092890177672406,24
73,15.0,Phages,0.006092890177672406,24
74,15.0,VMR,0.006092890177672406,24
75,15.0,Cells,0.005962616796508794,25
76,15.0,Phages,0.006092890177672406,25
77,15.0,VMR,0.006092890177672406,25
78,15.0,Cells,0.006092890177672406,26
79,15.0,Phages,0.005579712641457377,26
80,15.0,VMR,0.006092890177672406,26
81,15.0,Cells,0.005962616796508794,27
82,15.0,Phages,0.006092890177672406,27
83,15.0,VMR,0.006092890177672406,27
84,15.0,Cells,0.006092890177672406,28
85,15.0,Phages,0.006092890177672406,28
86,15.0,VMR,0.006092890177672406,28
87,15.0,Cells,0.006092890177672406,29
88,15.0,Phages,0.005962616796508794,29
89,15.0,VMR,0.006092890177672406,29
90,15.0,Cells,0.006092890177672406,30
91,15.0,Phages,0.006092890177672406,30
92,15.0,VMR,0.006092890177672406,30
93,15.0,Cells,0.006092890177672406,31
94,15.0,Phages,0.006092890177672406,31
95,15.0,VMR,0.006092890177672406,31
96,15.0,Cells,0.006092890177672406,32
97,15.0,Phages,0.005962616796508794,32
98,15.0,VMR,0.006092890177672406,32
99,15.0,Cells,0.006092890177672406,33
100,15.0,Phages,0.006092890177672406,33
101,15.0,VMR,0.006092890177672406,33
102,15.0,Cells,0.006092890177672406,34
103,15.0,Phages,0.006092890177672406,34
104,15.0,VMR,0.006092890177672406,34
105,15.0,Cells,0.006092890177672406,35
106,15.0,Phages,0.005962616796508794,35
107,15.0,VMR,0.006092890177672406,35
108,15.0,Cells,0.006092890177672406,36
109,15.0,Phages,0.006092890177672406,36
110,15.0,VMR,0.006092890177672406,36
111,15.0,Cells,0.005962616796508794,37
112,15.0,Phages,0.006092890177672406,37
113,15.0,VMR,0.006092890177672406,37
114,15.0,Cells,0.006092890177672406,38
115,15.0,Phages,0.006092890177672406,38
116,15.0,VMR,0.006092890177672406,38
117,15.0,Cells,0.006092890177672406,39
118,15.0,Phages,0.006092890177672406,39
119,15.0,VMR,0.006092890177672406,39
120,15.0,Cells,0.006092890177672406,40
121,15.0,Phages,0.005962616796508794,40
122,15.0,VMR,0.006092890177672406,40
123,15.0,Cells,0.006092890177672406,41
124,15.0,Phages,0.006092890177672406,41
125,15.0,VMR,0.006092890177672406,41
126,15.0,Cells,0.006092890177672406,42
127,15.0,Phages,0.006092890177672406,42
128,15.0,VMR,0.006092890177672406,42
129,15.0,Cells,0.006092890177672406,43
130,15.0,Phages,0.005962616796508794,43
131,15.0,VMR,0.006092890177672406,43
