,Time,Concentration,Bioagent,Type
147,1.47,43281845.31715607,CFU,wt
148,1.48,43479791.8576124,CFU,wt
149,1.49,43678614.331178926,CFU,wt
150,1.5,43878316.34486409,CFU,wt
151,1.51,44078901.51806176,CFU,wt
152,1.52,44280373.48257049,CFU,wt
153,1.53,44482735.88261272,CFU,wt
154,1.54,44685992.374853574,CFU,wt
155,1.55,44890146.62841954,CFU,wt
156,1.56,45095202.32491694,CFU,wt
157,1.57,45301163.15845005,CFU,wt
158,1.58,45508032.83563917,CFU,wt
159,1.59,45715815.0756383,CFU,wt
160,1.6,45924513.61015264,CFU,wt
161,1.61,46134132.18345586,CFU,wt
162,1.62,46344674.55240711,CFU,wt
163,1.6300000000000001,46556144.486467764,CFU,wt
164,1.6400000000000001,46768545.76771794,CFU,wt
165,1.6500000000000001,46981882.19087278,CFU,wt
166,1.6600000000000001,47196157.563298374,CFU,wt
167,1.67,47411375.70502756,CFU,wt
168,1.68,47627540.44877537,CFU,wt
169,1.69,47844655.63995421,CFU,wt
170,1.7,48062725.13668878,CFU,wt
171,1.71,48281752.80983074,CFU,wt
172,1.72,48501742.54297309,CFU,wt
173,1.73,48722698.23246422,CFU,wt
174,1.74,48944623.7874217,CFU,wt
175,1.75,49167523.12974583,CFU,wt
176,1.76,49391400.19413282,CFU,wt
177,1.77,49616258.92808768,CFU,wt
178,1.78,49842103.29193686,CFU,wt
179,1.79,50068937.25884055,CFU,wt
180,1.8,50296764.81480468,CFU,wt
181,1.81,50525589.95869255,CFU,wt
182,1.82,50755416.702236265,CFU,wt
183,1.83,50986249.07004771,CFU,wt
184,1.84,51218091.09962931,CFU,wt
185,1.85,51450946.84138439,CFU,wt
186,1.86,51684820.35862723,CFU,wt
187,1.87,51919715.72759281,CFU,wt
188,1.8800000000000001,52155637.03744614,CFU,wt
189,1.8900000000000001,52392588.39029131,CFU,wt
190,1.9000000000000001,52630573.90118016,CFU,wt
191,1.9100000000000001,52869597.69812064,CFU,wt
192,1.92,53109663.92208473,CFU,wt
193,1.93,53350776.72701608,CFU,wt
194,1.94,53592940.27983721,CFU,wt
195,1.95,53836158.76045646,CFU,wt
196,1.96,54080436.361774385,CFU,wt
